scheme_code,fund_name,fund_type,nav,nav_change_pct
118572,Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,Debt,13.7142,0.0
100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,Debt,12.7443,0.0
100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,Debt,15.2569,0.0
100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,Debt,12.0631,0.0
113070,HDFC Corporate Bond Fund - Growth Option,Debt,33.3643,0.0
118987,HDFC Corporate Bond Fund - Growth Option - Direct Plan,Debt,34.1446,0.0
132848,HDFC Corporate Bond Fund - IDCW Option,Debt,20.1977,0.0
132849,HDFC Corporate Bond Fund - IDCW Option - Direct Plan,Debt,20.9214,0.0
113071,HDFC Corporate Bond Fund - Quarterly IDCW Option,Debt,10.5026,0.0
118986,HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,Debt,10.4078,0.0
151000,HSBC Corporate Bond Fund - Direct Annual IDCW,Debt,12.3744,0.0
150996,HSBC Corporate Bond Fund - Direct Growth,Debt,80.4458,0.0
150998,HSBC Corporate Bond Fund - Direct Quarterly IDCW,Debt,11.3683,0.0
150997,HSBC Corporate Bond Fund - Direct Semi Annual IDCW,Debt,20.2222,0.0
151001,HSBC Corporate Bond Fund - Regular Annual IDCW,Debt,12.0896,0.0
150992,HSBC Corporate Bond Fund - Regular Growth,Debt,75.403,0.0
